seed,condition,epoch,metric,value
2,augmented,3,loss,1.46303129196167
2,augmented,3,val_loss,1.5306333303451538
3,baseline,1,accuracy,0.2660999894142151
3,baseline,1,val_accuracy,0.37700000405311584
3,baseline,1,loss,2.000849962234497
3,baseline,1,val_loss,1.7541662454605103
3,baseline,2,accuracy,0.42570000886917114
3,baseline,2,val_accuracy,0.4390000104904175
3,baseline,2,loss,1.5863553285598755
3,baseline,2,val_loss,1.5396006107330322
3,baseline,3,accuracy,0.4869000017642975
3,baseline,3,val_accuracy,0.49300000071525574
3,baseline,3,loss,1.417757272720337
3,baseline,3,val_loss,1.4344396591186523
3,augmented,1,accuracy,0.2818000018596649
3,augmented,1,val_accuracy,0.3540000021457672
3,augmented,1,loss,1.959915041923523
3,augmented,1,val_loss,1.8203569650650024
3,augmented,2,accuracy,0.42239999771118164
3,augmented,2,val_accuracy,0.41100001335144043
3,augmented,2,loss,1.6065903902053833
3,augmented,2,val_loss,1.6480839252471924
3,augmented,3,accuracy,0.4715000092983246
3,augmented,3,val_accuracy,0.4584999978542328
3,augmented,3,loss,1.470624327659607
3,augmented,3,val_loss,1.519553303718567
4,baseline,1,accuracy,0.33329999446868896
4,baseline,1,val_accuracy,0.4300000071525574
4,baseline,1,loss,1.8639127016067505
4,baseline,1,val_loss,1.6321749687194824
4,baseline,2,accuracy,0.4666000008583069
4,baseline,2,val_accuracy,0.4855000078678131
4,baseline,2,loss,1.497450828552246
4,baseline,2,val_loss,1.4611433744430542
4,baseline,3,accuracy,0.5358999967575073
4,baseline,3,val_accuracy,0.5210000276565552
4,baseline,3,loss,1.3146584033966064
4,baseline,3,val_loss,1.3626532554626465
4,augmented,1,accuracy,0.29490000009536743
4,augmented,1,val_accuracy,0.4115000069141388
4,augmented,1,loss,1.939699649810791
4,augmented,1,val_loss,1.7008931636810303
4,augmented,2,accuracy,0.43549999594688416
4,augmented,2,val_accuracy,0.4684999883174896
4,augmented,2,loss,1.5777807235717773
4,augmented,2,val_loss,1.488755702972412
4,augmented,3,accuracy,0.47850000858306885
4,augmented,3,val_accuracy,0.4945000112056732
4,augmented,3,loss,1.4439696073532104
4,augmented,3,val_loss,1.4183814525604248
5,baseline,1,accuracy,0.30070000886917114
5,baseline,1,val_accuracy,0.36149999499320984
5,baseline,1,loss,1.9003474712371826
5,baseline,1,val_loss,1.7416664361953735
5,baseline,2,accuracy,0.44269999861717224
5,baseline,2,val_accuracy,0.4424999952316284
5,baseline,2,loss,1.5249319076538086
5,baseline,2,val_loss,1.5325895547866821
5,baseline,3,accuracy,0.5112000107765198
5,baseline,3,val_accuracy,0.47200000286102295
5,baseline,3,loss,1.3659052848815918
5,baseline,3,val_loss,1.472414493560791
5,augmented,1,accuracy,0.28610000014305115
5,augmented,1,val_accuracy,0.39750000834465027
5,augmented,1,loss,1.9433869123458862
5,augmented,1,val_loss,1.6766802072525024
5,augmented,2,accuracy,0.41760000586509705
5,augmented,2,val_accuracy,0.44200000166893005
5,augmented,2,loss,1.621627688407898
5,augmented,2,val_loss,1.548269271850586
5,augmented,3,accuracy,0.46779999136924744
5,augmented,3,val_accuracy,0.4794999957084656
5,augmented,3,loss,1.4881446361541748
5,augmented,3,val_loss,1.4315543174743652
6,baseline,1,accuracy,0.30979999899864197
6,baseline,1,val_accuracy,0.40049999952316284
6,baseline,1,loss,1.9005472660064697
6,baseline,1,val_loss,1.6988168954849243
6,baseline,2,accuracy,0.4438999891281128
6,baseline,2,val_accuracy,0.4544999897480011
6,baseline,2,loss,1.541507601737976
6,baseline,2,val_loss,1.5149458646774292
6,baseline,3,accuracy,0.5044000148773193
6,baseline,3,val_accuracy,0.48500001430511475
6,baseline,3,loss,1.3807576894760132
6,baseline,3,val_loss,1.4329739809036255
6,augmented,1,accuracy,0.296999990940094
6,augmented,1,val_accuracy,0.4065000116825104
6,augmented,1,loss,1.9261116981506348
6,augmented,1,val_loss,1.683096170425415
6,augmented,2,accuracy,0.41780000925064087
6,augmented,2,val_accuracy,0.46149998903274536
6,augmented,2,loss,1.6049981117248535
6,augmented,2,val_loss,1.499464511871338
6,augmented,3,accuracy,0.4668000042438507
6,augmented,3,val_accuracy,0.4950000047683716
6,augmented,3,loss,1.4683935642242432
6,augmented,3,val_loss,1.3988951444625854
7,baseline,1,accuracy,0.30219998955726624
7,baseline,1,val_accuracy,0.4000000059604645
7,baseline,1,loss,1.9202293157577515
7,baseline,1,val_loss,1.692827582359314
7,baseline,2,accuracy,0.4327999949455261
7,baseline,2,val_accuracy,0.43799999356269836
7,baseline,2,loss,1.567889928817749
7,baseline,2,val_loss,1.532353162765503
7,baseline,3,accuracy,0.49459999799728394
7,baseline,3,val_accuracy,0.47049999237060547
7,baseline,3,loss,1.4102715253829956
7,baseline,3,val_loss,1.4416935443878174
7,augmented,1,accuracy,0.2989000082015991
7,augmented,1,val_accuracy,0.39750000834465027
7,augmented,1,loss,1.9437029361724854
7,augmented,1,val_loss,1.7262532711029053
7,augmented,2,accuracy,0.42149999737739563
7,augmented,2,val_accuracy,0.43549999594688416
7,augmented,2,loss,1.6101137399673462
7,augmented,2,val_loss,1.5742732286453247
7,augmented,3,accuracy,0.47620001435279846
7,augmented,3,val_accuracy,0.4560000002384186
7,augmented,3,loss,1.4685969352722168
7,augmented,3,val_loss,1.5291802883148193
8,baseline,1,accuracy,0.2971999943256378
8,baseline,1,val_accuracy,0.4320000112056732
8,baseline,1,loss,1.9226951599121094
8,baseline,1,val_loss,1.640138864517212
8,baseline,2,accuracy,0.45210000872612
8,baseline,2,val_accuracy,0.4754999876022339
8,baseline,2,loss,1.5148513317108154
8,baseline,2,val_loss,1.509941816329956
8,baseline,3,accuracy,0.5166000127792358
8,baseline,3,val_accuracy,0.5055000185966492
8,baseline,3,loss,1.355514407157898
8,baseline,3,val_loss,1.419937252998352
8,augmented,1,accuracy,0.3057999908924103
8,augmented,1,val_accuracy,0.3449999988079071
8,augmented,1,loss,1.910811185836792
8,augmented,1,val_loss,1.8722251653671265
8,augmented,2,accuracy,0.4348999857902527
8,augmented,2,val_accuracy,0.40400001406669617
8,augmented,2,loss,1.560639500617981
8,augmented,2,val_loss,1.6708067655563354
8,augmented,3,accuracy,0.4837000072002411
8,augmented,3,val_accuracy,0.4690000116825104
8,augmented,3,loss,1.4304574728012085
8,augmented,3,val_loss,1.5445008277893066
9,baseline,1,accuracy,0.29170000553131104
9,baseline,1,val_accuracy,0.3935000002384186
9,baseline,1,loss,1.954576015472412
9,baseline,1,val_loss,1.714775562286377
9,baseline,2,accuracy,0.4357999861240387
9,baseline,2,val_accuracy,0.43849998712539673
9,baseline,2,loss,1.5881731510162354
9,baseline,2,val_loss,1.57817542552948
9,baseline,3,accuracy,0.49799999594688416
9,baseline,3,val_accuracy,0.49149999022483826
9,baseline,3,loss,1.403157114982605
9,baseline,3,val_loss,1.4439247846603394
9,augmented,1,accuracy,0.27889999747276306
9,augmented,1,val_accuracy,0.38850000500679016
9,augmented,1,loss,1.9653277397155762
9,augmented,1,val_loss,1.7085710763931274
9,augmented,2,accuracy,0.428600013256073
9,augmented,2,val_accuracy,0.45399999618530273
9,augmented,2,loss,1.593307614326477
9,augmented,2,val_loss,1.5281026363372803
9,augmented,3,accuracy,0.4794999957084656
9,augmented,3,val_accuracy,0.49549999833106995
9,augmented,3,loss,1.4486033916473389
9,augmented,3,val_loss,1.4223530292510986
